,height,width,kinds,min,max,mean,std,combo10
327,8,8,9,0,6,1.03,1.144159079848602,0
328,8,9,2,443,52644,12585.68,10565.475807440003,100
329,8,9,3,7,81,27.98,16.32359029135441,93
330,8,9,4,1,25,9.89,4.677381746233676,51
331,8,9,5,0,12,5.07,2.713871772947278,6
332,8,9,6,0,10,3.69,2.41120301924164,1
333,8,9,7,0,8,2.16,1.5982490419205637,0
334,8,9,8,0,7,1.87,1.514298517466091,0
335,8,9,9,0,6,1.53,1.3300751858447701,0
336,9,3,2,0,88,24.14,18.044954973620744,80
337,9,3,3,0,20,4.91,3.6690461975832354,13
338,9,3,4,0,10,2.29,2.0942540438065294,1
339,9,3,5,0,6,1.37,1.2700787377166818,0
340,9,3,6,0,4,0.86,1.0772186407596185,0
341,9,3,7,0,3,0.63,0.7956758133813043,0
342,9,3,8,0,3,0.48,0.71386273190299,0
343,9,3,9,0,2,0.37,0.5225897052181567,0
344,9,4,2,3,287,63.33,49.66529069682368,98
345,9,4,3,0,46,9.89,6.734827391997511,42
346,9,4,4,0,10,3.83,2.332616556573326,1
347,9,4,5,0,9,2.24,1.7556765077883796,0
348,9,4,6,0,6,1.54,1.499466571818125,0
349,9,4,7,0,3,0.82,0.9836666101886349,0
350,9,4,8,0,4,0.52,0.8182909018191512,0
351,9,4,9,0,4,0.58,0.8506468127254694,0
352,9,5,2,5,1126,251.1,213.03565429289057,98
353,9,5,3,3,49,14.97,9.725692777380953,67
354,9,5,4,0,21,5.27,3.722512592322557,11
355,9,5,5,0,11,3.07,2.3076178193106416,1
356,9,5,6,0,8,1.66,1.6384138671288153,0
357,9,5,7,0,5,1.2,1.2165525060596438,0
358,9,5,8,0,5,1.09,1.1840185809352828,0
359,9,5,9,0,5,0.89,1.139254141971843,0
360,9,6,2,30,4850,937.56,886.3628638430199,100
361,9,6,3,3,69,21.4,13.128594745821047,86
362,9,6,4,0,25,7.36,4.276727721050289,21
363,9,6,5,0,14,4.29,2.736037280447765,4
364,9,6,6,0,8,2.42,1.850297273413113,0
365,9,6,7,0,7,1.96,1.5486768546084753,0
366,9,6,8,0,4,1.26,1.213424904969401,0
367,9,6,9,0,5,1.03,1.1615076409563565,0
368,9,7,2,24,14351,3270.23,3087.5381353272383,100
369,9,7,3,8,124,28.64,18.26062430477118,97
370,9,7,4,0,27,9.44,4.988627065636396,46
371,9,7,5,0,13,4.92,2.670880004792428,5
372,9,7,6,0,10,3.04,2.101999048524999,1
373,9,7,7,0,10,1.97,1.7289013852733186,1
374,9,7,8,0,8,1.71,1.6204628968291745,0
375,9,7,9,0,5,1.35,1.2519984025548916,0
376,9,8,2,37,44835,9571.5,9098.58487293491,100
377,9,8,3,7,129,32.11,17.92311077910305,98
378,9,8,4,1,35,11.6,6.128621378417825,59
379,9,8,5,0,21,5.18,3.401117463422868,11
380,9,8,6,0,14,3.31,2.335358644833808,2
381,9,8,7,0,8,2.57,1.8775249665450524,0
382,9,8,8,0,6,1.81,1.4744151382836517,0
383,9,8,9,0,5,1.33,1.2888366847665378,0
384,9,9,2,169,151136,34018.24,29133.161968835448,100
385,9,9,3,10,123,40.39,20.6096555041563,100
386,9,9,4,4,36,12.42,5.872273835576812,62
387,9,9,5,0,17,6.22,3.3243946817428283,17
388,9,9,6,0,13,4.09,2.4293826376262757,4
389,9,9,7,0,10,2.83,2.000274981096349,1
390,9,9,8,0,10,2.24,1.8445595680270128,1
391,9,9,9,0,6,1.54,1.4312232530251876,0
